#TYPE Selected.System.Management.Automation.PSCustomObject
"File";"Hash";"Algorithm"
"\Installers\0b63b7c537782729483bff2d64a620fa.cab";"0B7712F81034AF52318C3102FAD1156999E06E50D5ED5FE95D80EE7D08A86D7E";"SHA256"
"\Installers\5203003bf5041522b502d2e483216ec0.cab";"C63FBBAF40240954D71A357A874C14C790A23AF0321E77CAC5E1D7AFBB61E68C";"SHA256"
"\Installers\690b8ac88bc08254d351654d56805aea.cab";"0B962C9D6835518DC89247EE4287DE97F32788A208701621F7B29A577BF6C6B0";"SHA256"
"\Installers\6d3c63e785ac9ac618ae3f1416062098.cab";"CD2D457F7F70C0A1CA5D43C2FC2091EFC75F8EF393431C6894DC5656507C06F3";"SHA256"
"\Installers\78ec5a6bf483ef155dc2a311e526f8a5.cab";"32D589B0877CE9672E074AE1F3CE8DE89CB2E4D1962253B8AE054498BBB08DC3";"SHA256"
"\Installers\8bb1cf01f3ce1952f356d0aff91dbb2f.cab";"6A053DADF97F376F97873CDECDF38A902C960784D02301C457BC98E0D1138010";"SHA256"
"\Installers\9722214af0ab8aa9dffb6cfdafd937b7.cab";"2B03D640E1165D2B916DF2006D0BA56A9B21818339BAFAB70D9F64DCA1C86520";"SHA256"
"\Installers\a32918368eba6a062aaaaf73e3618131.cab";"935B1EE01DC6672932DA1E8DD58BB87DFF57A6E8CD56D4FA9B39471C5281616D";"SHA256"
"\Installers\aa25d18a5fcce134b0b89fb003ec99ff.cab";"0525481F17F13FEDFBE7B9A81EF6989E81E7E9714C9909244E57A373DFA3436B";"SHA256"
"\Installers\d79674314954a7700d9ee837e5c393aa.cab";"8BAF0E409F63049394B83EDB5D7DFC6474B09ACC7A24A1E91F3846E3FB1CAA60";"SHA256"
"\Installers\Kits Configuration Installer-x86_en-us.msi";"585ADECABF7308EC5C0788DA2FB159DA85A22F77378C8E3021F98732CBE3BD5B";"SHA256"
"\Installers\Windows PE ARM ARM64 wims-x86_en-us.msi";"9FD7460CEC3AA2A2711E6413E5939119A81B7FC5CAA90347E6D4047DD37CBAEC";"SHA256"
"\Installers\Windows PE ARM ARM64-x86_en-us.msi";"A9F853E73B236966998EFA5DFC87C3DC8A03DF9F646D843DF8FF593B2D078B92";"SHA256"
"\Installers\Windows PE x86 x64 wims-x86_en-us.msi";"C1A7835D9758AFB1F4B8B5D2436DAB441B772F56067E2D5FD03FED3FBDDAFF77";"SHA256"
"\Installers\Windows PE x86 x64-x86_en-us.msi";"A7CCF610B208B54BE7C770748F4C4EE292F83A9D8CEB341B6989AF58AC91AB02";"SHA256"
"\adkwinpesetup.exe";"CCAAE7711B24B1C2378C230A78FFC97701AE692020701AB7CE6E30CF3D19B952";"SHA256"
