#TYPE Selected.System.Management.Automation.PSCustomObject
"File";"Hash";"Algorithm"
"\Installers\0b63b7c537782729483bff2d64a620fa.cab";"6EB0C202A85714255F5684A6C8C1AB22F225C94DBEF2109154E4EA6F2A9CD09A";"SHA256"
"\Installers\13334584cdbf659a8dd105fc34851ea3.cab";"D81067059392BD463228042AD578075FF836A44E0BAFA5BA7BC65F26E96352DF";"SHA256"
"\Installers\24ab0f36f991590c112d8f31215bfe53.cab";"FBF8666FF5DEBCFDFB4E01FF2CB69A449566B3FF876E6058659D7C9EFBC5C971";"SHA256"
"\Installers\30dc279b59ac6b971b6da2fc87ccaed6.cab";"6E82046380B69EE8519B2BF14DE9F719F75ABF827138203EF9B09F58AA622FB1";"SHA256"
"\Installers\35bde53afab1aa18383a056af0ce0f2a.cab";"2655BEBB92B7D654B7E17880A56F4AED45ABC64F96E9DC59FDFBFCA14143969A";"SHA256"
"\Installers\389fddf0856c8221b40bfa234db3f4eb.cab";"4F4DBCBEBD1FADD77DAB892FB88481E1CE4F844FAF56698FD6F61B930580DC1C";"SHA256"
"\Installers\3b8aa90b3015bd30b59330184cbbb275.cab";"DF4E970194028ABD2F667425E3FD88741292CF47C963D59D39E989BBCB2FDD74";"SHA256"
"\Installers\3ffff92a2c7e8b2f1a6e85afeaa027ca.cab";"334063C154F63B7B14F1A23122724C9FAFA26A6CD10CD7AA593CEB4F1A62EBDC";"SHA256"
"\Installers\6b989bafe61434aa01ecdc53dfee4052.cab";"FD40D8022F8069DDB06403392205B417A67576A2915F93BD2878F98EC21229E4";"SHA256"
"\Installers\755a8f59ce4582d52bc4c91761db7935.cab";"04497C4E4505F536CC8DF8351EBD442E814F9A932E2A20B186B5519BA0C1BC67";"SHA256"
"\Installers\856a378483a6c7e8068c4f52cb49227c.cab";"C8148C7416C67C632661450678AD80B937ABE3AC2D32C575E8ED1C723B481B57";"SHA256"
"\Installers\8686aa39453398c3a04c1edaac29ca7a.cab";"0AB12718AE87B881F3A431F61E4DF88553BACA8CC64E61EFB5FA0AFAB9307AF3";"SHA256"
"\Installers\8a2e0a0e136870ff08761f9842218e80.cab";"157F31BC5799139A1D42B0C609CE86794DD8A9B30EAEE1D4B96550B934900ACE";"SHA256"
"\Installers\9722214af0ab8aa9dffb6cfdafd937b7.cab";"3C0B2E5E5DF039A516070B4031CC7BFFB91B95B0C3685F3BB807B02C5BDE5B80";"SHA256"
"\Installers\a32918368eba6a062aaaaf73e3618131.cab";"043BCE39F8387AE2936F44BE3EC572C6B12C4D38188793AEC20EF94CE3F2F616";"SHA256"
"\Installers\a6296c5a6eec9ca02b431ed0461b952d.cab";"744830A9C38E68BE22F8D418B182C6E2937C57DCF6EA3189654577534A781064";"SHA256"
"\Installers\aa25d18a5fcce134b0b89fb003ec99ff.cab";"EAE924C00DCAA744967E98126CD09A5A257E5047EF72DB14DE1FFE536AF0A515";"SHA256"
"\Installers\b349f96e35f982019f2133020a0e1d4e.cab";"EA414AE16E40E53B24C31406C1E854D88E17CF337235F51C7E04CE8EBBDDF8D6";"SHA256"
"\Installers\bfdbb113d9d5201e5897ed28d0a47f42.cab";"9F8415578D9BC16AD274A3CCEFAFBA6E1A75E135F996A60FD7BFD522013ECF70";"SHA256"
"\Installers\ce555956b885de2e50313fd305612438.cab";"5909E2EFFB74ED49D307B6395F37E6E87F55214CB14983D36C998C073F0B3359";"SHA256"
"\Installers\e4ef343897232361feeab2810591d8ae.cab";"0CE54CD291575893BA29C36C43F846AECC570BB556CDB932A86CDA9F78FD8BB7";"SHA256"
"\Installers\e7a23bd4ab45aa717a3e0b2fa877dce9.cab";"D0F73BCAE685366A9D4BFDD6E6328552DC39A3F276F1B69DB15DAD5242FFA066";"SHA256"
"\Installers\f493bb83bbe844f5cd3610b0847bc113.cab";"F2C66440C6C36DA667EA6F6A6FCE30C20E984967A5F7CE1068D6548E4FF25D43";"SHA256"
"\Installers\f53c2cdf2f5aeeaef4ca19d4b3344930.cab";"37B4D1EF034CFFD400196853DE2EEF034092DC2D76307588895676D8CEB6DC41";"SHA256"
"\Installers\fbb8341fa3865da250844813d461a879.cab";"A827C87BAE9A42B563E745097714E426E1B5ECAC488B20C2839B107743D292CF";"SHA256"
"\Installers\Kits Configuration Installer-x86_en-us.msi";"BF863CE07C70EFA311CC0192C6C546E4EDA79071792E82B8FDBCA8C2272B4E87";"SHA256"
"\Installers\Windows PE Boot Files (DesktopEditions)-x86_en-us.msi";"4060EEBF0FF73E968DCF58524484B8734A0DCD539816749A5B7AD33E7293A5A4";"SHA256"
"\Installers\Windows PE Boot Files (OnecoreUAP)-x86_en-us.msi";"DCDB565FCC52FB034BDB5DDA5DBDBEA85CE3E67BE912B41A81ADB0DE1B6BD1B3";"SHA256"
"\Installers\Windows PE Optional Packages (DesktopEditions)-x86_en-us.msi";"450E28C28ACCFF34975C32A99FD8AB24087D132394F70E0189EA08FB417DE29F";"SHA256"
"\Installers\Windows PE Scripts-x86_en-us.msi";"2FE1ECA282499D52AD32353F2F93F75808C7F3C7FAF741E0F6258D67BA6B3B28";"SHA256"
"\Installers\Windows PE wims (DesktopEditions)-x86_en-us.msi";"269096D069DB8B489D8999863CEB6E6B3DA230053C1EFE9F0E7E3C1CA14D02A9";"SHA256"
"\adkwinpesetup.exe";"BB93457C2B7859B15454ADF0DEFE48A6A1E90C8A47AA8FE8F68F911973AC7772";"SHA256"
