#TYPE Selected.System.Management.Automation.PSCustomObject
"File";"Hash";"Algorithm"
"\Installers\0b63b7c537782729483bff2d64a620fa.cab";"11CC8D694E40419239B20C0B69B6BFAEBDB2D484D8C75AC39344D216C2DDD0F7";"SHA256"
"\Installers\5203003bf5041522b502d2e483216ec0.cab";"EB753BFBA67BD194F7276F93F5D5A9642762136E73787F6EA3E078A461AB29CE";"SHA256"
"\Installers\690b8ac88bc08254d351654d56805aea.cab";"141978145E295B1C1FF135BC9ADDC71CB1C3BD152E43D83BD9D96A4B01430E70";"SHA256"
"\Installers\6d3c63e785ac9ac618ae3f1416062098.cab";"3207D96670A324A3F416C2969CFF0D391AE76E10DF7DB0EE7067F4E4B85927C2";"SHA256"
"\Installers\78ec5a6bf483ef155dc2a311e526f8a5.cab";"3AD8C788B1D80635FE501B067BAD7D8BCDE18C5EA83E17D3952F0B41627FEC6A";"SHA256"
"\Installers\8bb1cf01f3ce1952f356d0aff91dbb2f.cab";"3F1C130C0B55C29F0A17E51B5162285DC5F4CFCFC65193D5CD0C7122AD68EA02";"SHA256"
"\Installers\9722214af0ab8aa9dffb6cfdafd937b7.cab";"D3FB758886E3BAA06AEEC5813EC879C5BE9CED7DD3D6A65DE57D7A1741AD24B2";"SHA256"
"\Installers\a32918368eba6a062aaaaf73e3618131.cab";"5C35C7DC9159A9B86343326CB0110A9FE4A0F6B5684D41DB92B87A8C661E11EE";"SHA256"
"\Installers\aa25d18a5fcce134b0b89fb003ec99ff.cab";"84876011EF1FDC781C46C5B5D96AD4A477965B098D45E8FC7FB4653F45BF65BF";"SHA256"
"\Installers\d79674314954a7700d9ee837e5c393aa.cab";"31309C330A29A194C742D250A17CAEE85B33DB3EBCBF49D84979A8386BEDA238";"SHA256"
"\Installers\Kits Configuration Installer-x86_en-us.msi";"E6497968A57F619F667D283AC900D3B34B0FC74D163521DB75D87F099F8AF0D0";"SHA256"
"\Installers\Windows PE ARM ARM64 wims-x86_en-us.msi";"3F5952AA8C9BB0B2427186A56F95C16148C3BEDD030BBD35D94A894959A2B895";"SHA256"
"\Installers\Windows PE ARM ARM64-x86_en-us.msi";"53250F4B19182131DBF9EA0EDE7ADCCA45DC7527CD31AC5CEE5A62B8C83EE0E6";"SHA256"
"\Installers\Windows PE x86 x64 wims-x86_en-us.msi";"BE7AB6B5B3B5E2E43D143C8FD9B4147F261970576985BBD5DB5B5B33AB918137";"SHA256"
"\Installers\Windows PE x86 x64-x86_en-us.msi";"BE0025317EEDB9296D2EF11C251D6C0933310B537A9FA40F6DC9F01F84500C7F";"SHA256"
"\adkwinpesetup.exe";"2073DD9B41569E4EDEB5D4553EFA874B09330D16CFE12A969018A40418E1FD9F";"SHA256"
