#TYPE Selected.System.Management.Automation.PSCustomObject
"File";"Hash";"Algorithm"
"\Installers\0b63b7c537782729483bff2d64a620fa.cab";"820C81DE0062FD93A1B64F1744F0FE443FABB5DDAEA308D7E3B3342CF7657F71";"SHA256"
"\Installers\5203003bf5041522b502d2e483216ec0.cab";"4A002B2314219A0164E9917E28DDE707FC2A3318A24B9851F8F4FEE91362676B";"SHA256"
"\Installers\690b8ac88bc08254d351654d56805aea.cab";"3494DF801666436012F1E63FA06EDAFD7C5FAE11FB1228F0697BE4C3C9892386";"SHA256"
"\Installers\6d3c63e785ac9ac618ae3f1416062098.cab";"B148BDF910FCEE32721505B703499EE235B89AC42A926CAC0DC824B4AAA3261C";"SHA256"
"\Installers\78ec5a6bf483ef155dc2a311e526f8a5.cab";"2AFFC0564042146CDE5C2EC70DC9C23E83075B5FB1D517A5E1755CCDC40F04CE";"SHA256"
"\Installers\8bb1cf01f3ce1952f356d0aff91dbb2f.cab";"3C3B6A3DDB371F78541AB74CFD83DAA0F92A7A177D72D2ECAF285A51F020CE20";"SHA256"
"\Installers\9722214af0ab8aa9dffb6cfdafd937b7.cab";"98080367C425DCFEC5E515BCC79ABD2547B29DE19B777DB0231ED8477A7EBB75";"SHA256"
"\Installers\a32918368eba6a062aaaaf73e3618131.cab";"BB1A932D6E50B8BB2DAAFD9C99C990398D04FA6C56969162515F4957A02DB7E6";"SHA256"
"\Installers\aa25d18a5fcce134b0b89fb003ec99ff.cab";"0BADF638F4F55BB1B0AFCD335F95C6D18C6EB3F2443F66D3FB0DBCDC690D8021";"SHA256"
"\Installers\d79674314954a7700d9ee837e5c393aa.cab";"8A597FD74021CCCA9B885268EB4580C960FE2F591C9487A4EED4C36C24880535";"SHA256"
"\Installers\Kits Configuration Installer-x86_en-us.msi";"6D897E75B0C2BD6FFC9635F6DEBC7C3147BF9F75400E678F79F5F10CE38863B6";"SHA256"
"\Installers\Windows PE ARM ARM64 wims-x86_en-us.msi";"752F88C838A93D6E879383B037DA4F350E7791E8BC7E64B6AA89D85FD9075A81";"SHA256"
"\Installers\Windows PE ARM ARM64-x86_en-us.msi";"7A3887160AE024102C624632485DEA31D437ACDE6B738900DD75DD4FE70C805E";"SHA256"
"\Installers\Windows PE x86 x64 wims-x86_en-us.msi";"507EA520B090869435F52C7FE058A003002E7235F61781286170ECB0402F58D7";"SHA256"
"\Installers\Windows PE x86 x64-x86_en-us.msi";"BCD3C99D249DBC095299433EEDA7E9ECAA2C784B4C0A038F0788A8F38EA1D890";"SHA256"
"\adkwinpesetup.exe";"B3407EEC8565FF2A4EAB36B0671772F2E09B3A1612164B0DA10F8B5154BA6A40";"SHA256"
